TYPE,CLIENT,YEAR,MAKE,MODEL,COLOR,TAG,VIN,STREET,CITY,ZIP,GPS,SPOTTER,DRIVER,NOTES,STATUS
MI,Citizens Bank,2014,Toyota,Camry,Blue,GA-DBC2153,T5B8KAC1UKY2A9874,1248 Park Ave,Sandy Springs,30003,"33.746106, -84.327685",,William Lee,"Coords 33.746106, -84.327685",Towed
DRN,Regions Bank,2020,Ford,Escape,Silver,MD-6CO5750,NMC1NW1GZ8F5NJCNB,4007 Chestnut Blvd,Towson,21065,"39.33062, -76.574884",James Rodriguez,Sarah Rodriguez,,Dispatched
DRN,Wells Fargo,2012,Honda,Civic,Silver,GA-ZUV9570,6KRECK8B7CSJAMDWG,2896 Broadway St,Sandy Springs,30056,"33.678545, -84.351256",Robert Garcia,Sarah Rodriguez,"Coords 33.678545, -84.351256",Blocked
DRN,SunTrust Auto,2018,Nissan,Altima,Silver,MD-4YB3841,YEHUK3L0L5SCJG1LB,1422 Main St,Glen Burnie,21184,"39.355966, -76.561584",Olivia Anderson,,,Located
MI,American Credit Acceptance,2023,Kia,Sorento,Green,AZ-NHF1616,M8FWZ3ASNHG09R6PU,3273 Oak Ave,Phoenix,86404,"33.595324, -111.88098",,Sarah Johnson,,Located
DRN,BB&T Auto,2012,Jeep,Grand Cherokee,Black,TX-BDX-1859,MLB89HES5X3NXRHXR,3984 Walnut Ave,Dallas,75770,"32.920669, -96.955735",,Michael Rodriguez,,Located
IMP,Hyundai Capital,2014,Kia,Sorento,White,MD-ULI307,YJCDUJH663LYRVLLR,6845 Park Blvd,Baltimore,21883,"39.369176, -76.585768",,Michael Rodriguez,"Coords 39.369176, -76.585768",Located
MI,TD Auto Finance,2023,Honda,Civic,Gray,AZ-SAN1724,C79C427G58SFA3PJZ,4016 Oak St,Glendale,85983,"33.534162, -112.143369",Olivia Johnson,Michael Rodriguez,,Dispatched
IMP,US Bank,2019,Toyota,Corolla,Green,MD-CMW440,CV4UPFYD90DH106C0,2971 Park St,Columbia,21575,"39.314774, -76.66701",James Wilson,John Anderson,"Coords 39.314774, -76.66701",Located
BLOCKED,American Credit Acceptance,2013,Honda,Accord,Red,TX-KLI-9250,4UDE0Z589H7V50EN6,1413 Walnut Ave,Dallas,75591,"32.938729, -96.954607",William Moore,Emily Rodriguez,,Blocked
MI,US Bank,2014,Subaru,Outback,Gray,MD-7OX1351,VNEBRY3YX856WJWLT,8033 Cedar Rd,Annapolis,21789,"39.340648, -76.678849",Michael Davis,Sarah Rodriguez,,Towed
DRN,Ford Motor Credit,2014,Ford,Escape,Red,TX-FHD-1674,XJ5T0MPCXZK05LWHB,8282 Pine Blvd,Arlington,76901,"32.766459, -96.978583",Mia Moore,Sarah Johnson,"Coords 32.766459, -96.978583",Located
DRN,American Credit Acceptance,2023,Jeep,Grand Cherokee,Silver,AZ-KWD8847,CJHWB2R5ZFXDNRUNB,8921 Chestnut St,Phoenix,86999,"33.479126, -112.131942",,James Brown,,Blocked
IMP,US Bank,2017,Jeep,Grand Cherokee,Gray,MD-5OR2435,P535VL43JFKPW7YE1,208 Walnut Rd,Baltimore,21425,"39.21323, -76.612955",,Michael Rodriguez,,Dispatched
DRN,SunTrust Auto,2014,Nissan,Altima,Green,TX-PRX-8593,RBAKTW7HV3M8SBHU8,9912 Cedar Blvd,Dallas,76159,"32.797738, -96.894889",,Olivia Brown,"Coords 32.797738, -96.894889",Towed
GPS,GM Financial,2020,Hyundai,Elantra,Red,MD-3LF1866,U03ZDVVE9NMGLXXWU,1670 Park Rd,Columbia,21844,"39.207306, -76.681241",Olivia Smith,Sarah Johnson,,Located
MI,Bank of America,2017,Kia,Sorento,White,GA-NOC2909,JB7ZW0J5YMWBHRJKR,2153 Maple Ave,Roswell,30042,"33.756201, -84.309244",Sarah Johnson,Sophia Rodriguez,,Located
MI,Wells Fargo,2024,Toyota,Corolla,Gray,MD-5BC5942,AGHPNMZBFKUZZL9S9,1219 Oak St,Towson,21542,"39.22123, -76.669775",William Rodriguez,Sarah Rodriguez,,Located
IMP,Toyota Financial,2013,Subaru,Outback,White,MD-6MN4510,9R3HXH6HJ80VCFX8H,4746 Chestnut Rd,Glen Burnie,21704,"39.365474, -76.616769",David Wilson,James Brown,,Dispatched
IMP,Chase Bank,2015,Kia,Sorento,Green,AZ-VDM8177,FHK22GLE0NYN2HR48,9634 Broadway Rd,Glendale,86549,"33.576322, -111.974659",,John Anderson,,Stashed
BLOCKED,American Credit Acceptance,2021,Jeep,Grand Cherokee,Gray,GA-DIP9147,RJBGDE8BM1XKWGE86,4909 Chestnut Blvd,Marietta,30260,"33.715416, -84.414096",William Wilson,Sarah Johnson,"Coords 33.715416, -84.414096",Blocked
IMP,SunTrust Auto,2018,Honda,Civic,Black,MD-9VY5965,L84JW18H877L9D2T8,6289 Broadway Rd,Towson,21785,"39.365779, -76.642699",Sophia Wilson,Michael Rodriguez,,Dispatched
GPS,GM Financial,2017,Ford,F-150,Silver,MD-6NL1924,SSSWFEWHYLBXC6493,434 Chestnut St,Columbia,21325,"39.25177, -76.628037",Emily Davis,,,Blocked
DRN,Santander Consumer,2023,Toyota,Camry,Red,GA-FTJ6952,4N8EPVTDW2RFGYUE7,3536 Cedar St,Sandy Springs,30335,"33.855935, -84.37384",,Sophia Rodriguez,,Towed
BLOCKED,PNC Bank,2018,Nissan,Altima,Gray,AZ-AUW9457,M8P6U4DN06KSKW43X,3435 Walnut Rd,Phoenix,86687,"33.400466, -112.143795",James Anderson,Olivia Brown,"Coords 33.400466, -112.143795",Blocked
MI,US Bank,2015,Kia,Sorento,Black,TX-PRN-7914,CNLUJBTUMC8BDFXWE,6054 Oak Blvd,Arlington,76932,"32.906749, -96.701892",,Emily Rodriguez,,Located
BLOCKED,GM Financial,2022,Honda,Accord,Green,MD-KKS854,1S4PKGMPU53TD80HX,7043 Chestnut Ave,Towson,21987,"39.232769, -76.545303",Maria Johnson,Olivia Brown,,Blocked
GPS,Fifth Third Bank,2017,Subaru,Outback,Green,GA-WZV4926,T1W0HS51A2TWFSWPL,5296 Walnut St,Sandy Springs,30142,"33.866611, -84.294201",John Moore,James Brown,"Coords 33.866611, -84.294201",Stashed
IMP,Regions Bank,2018,Subaru,Outback,Green,GA-LNT9973,X6BDM5JA2NWXFHLSJ,6822 Cedar Blvd,Decatur,30246,"33.868376, -84.466623",Ava Brown,Sarah Johnson,,Located
DRN,Citizens Bank,2015,Chevrolet,Malibu,Black,AZ-AAR4747,F6NTLD24TKF0LHA46,2041 Maple Ave,Scottsdale,85391,"33.631118, -111.915306",Robert Thomas,Michael Rodriguez,,Located
BLOCKED,Santander Consumer,2014,Kia,Sorento,Gray,GA-NFN3391,BVTS5S06FA7JX2P14,4298 Oak St,Decatur,30287,"33.664688, -84.416784",Ava Rodriguez,Maria Thomas,,Blocked
GPS,Hyundai Capital,2022,Ford,Escape,Green,AZ-JMV7076,JCMTL98Y6JFX4KTHX,2195 Chestnut Rd,Phoenix,86532,"33.426207, -112.04947",,Maria Thomas,"Coords 33.426207, -112.04947",Located
DRN,Toyota Financial,2024,Ford,Escape,Silver,AZ-YER8208,DNKDRMC7TL64H8C5Z,8049 Chestnut Blvd,Tempe,85231,"33.596043, -111.896592",,Sarah Johnson,,Towed
BLOCKED,Ally Financial,2016,Nissan,Altima,White,MD-AQY684,M3ES8GYBVH20GXKBF,7961 Chestnut Rd,Glen Burnie,21609,"39.305021, -76.64082",James Thomas,James Brown,,Blocked
MI,GM Financial,2023,Hyundai,Elantra,Red,GA-KZB2158,1F2TMS2FBPL12VKHW,7183 Elm Ave,Sandy Springs,30185,"33.81638, -84.291987",,Sarah Rodriguez,,Located
BLOCKED,PNC Bank,2018,Toyota,Corolla,Gray,GA-TFN7979,FC9Y6RK8FV64F7WKJ,4173 Park Blvd,Roswell,30153,"33.792134, -84.362251",,Michael Rodriguez,"Coords 33.792134, -84.362251",Blocked
IMP,Bank of America,2018,Honda,Accord,Gray,MD-2YQ1266,H6MM2CF3WX65TYMPM,9996 Elm St,Baltimore,21445,"39.281531, -76.708772",,,,Stashed
BLOCKED,SunTrust Auto,2019,Jeep,Grand Cherokee,Gray,TX-WVW-7471,WFJJANHBNBP7KS4NF,7692 Pine Blvd,Irving,75865,"32.685891, -96.925185",,Olivia Brown,,Blocked
BLOCKED,Navy Federal CU,2019,Toyota,Corolla,Black,GA-BKA2682,438VC82898RDB4XEU,7855 Oak Blvd,Sandy Springs,30320,"33.884741, -84.413309",,Emily Rodriguez,"Coords 33.884741, -84.413309",Blocked
IMP,Santander Consumer,2016,Ford,F-150,Red,MD-VKT973,6JV1307LPVF7JMNL8,6915 Chestnut Rd,Baltimore,21241,"39.219792, -76.70012",Sarah Anderson,Olivia Brown,,Dispatched
BLOCKED,Ally Financial,2022,Hyundai,Elantra,White,AZ-THD4671,8TYZCUK9GD56HGGC9,2836 Oak Ave,Phoenix,86866,"33.426573, -111.945078",Emily Davis,William Lee,"Coords 33.426573, -111.945078",Blocked
DRN,BB&T Auto,2013,Subaru,Outback,White,GA-NYY1107,S7YV9LFU030SK3RJ4,6806 Chestnut Rd,Sandy Springs,30017,"33.760645, -84.307462",,William Lee,"Coords 33.760645, -84.307462",Located
MI,SunTrust Auto,2017,Toyota,Camry,Silver,MD-BUW918,V32WXZAUK25P5Z2NW,705 Park Rd,Baltimore,21400,"39.317769, -76.554589",Robert Smith,Sarah Rodriguez,,Towed
DRN,Ford Motor Credit,2013,Nissan,Altima,Blue,AZ-AAZ9846,TSW49HD0T9ZHDH5WA,5653 Maple Ave,Scottsdale,85718,"33.404721, -111.966577",William Rodriguez,John Anderson,"Coords 33.404721, -111.966577",Towed
GPS,TD Auto Finance,2018,Subaru,Outback,Blue,TX-ODE-7974,3FFD4J7P5E022T845,6930 Pine Ave,Arlington,76036,"32.714323, -96.74532",,Sophia Rodriguez,,Dispatched
GPS,American Credit Acceptance,2015,Subaru,Outback,Gray,MD-NDD478,VCKH0W0WV8BKK3DWV,3099 Chestnut St,Annapolis,21126,"39.284032, -76.695811",Daniel Martinez,Sarah Johnson,,Blocked
DRN,Navy Federal CU,2016,Ford,Escape,Blue,GA-YEQ8551,55KXF31R2YC5UFLBW,2128 Park St,Decatur,30100,"33.888792, -84.364541",Mia Moore,Olivia Brown,"Coords 33.888792, -84.364541",Dispatched
BLOCKED,Bank of America,2020,Toyota,Corolla,Black,TX-WSO-2386,X2C8BY4M3BX1TFHGL,2459 Pine Rd,Irving,76574,"32.7042, -96.878758",Michael Johnson,Sarah Rodriguez,,Blocked
GPS,Ally Financial,2021,Honda,Civic,Silver,TX-KEN-6311,T1HDNSS8991HUDX63,8032 Main Blvd,Dallas,76298,"32.74311, -96.687569",Michael Davis,Sarah Rodriguez,,Blocked
DRN,US Bank,2024,Nissan,Altima,Blue,MD-ELR272,S45CA6VLAD7UT1ZP9,845 Pine St,Columbia,21308,"39.197046, -76.56333",Sophia Garcia,Michael Rodriguez,"Coords 39.197046, -76.56333",Towed
DRN,Toyota Financial,2015,Kia,Sorento,Blue,AZ-IHV6269,YP6YBJA7AAM382FEB,2122 Cedar Blvd,Scottsdale,86695,"33.510459, -112.064637",,John Anderson,"Coords 33.510459, -112.064637",Stashed
IMP,Santander Consumer,2019,Toyota,Camry,Silver,MD-WLG192,WRR80CU8PAN2HU98L,3274 Broadway Ave,Towson,21067,"39.291751, -76.553346",,Emily Rodriguez,,Located
MI,PNC Bank,2023,Honda,Accord,Green,TX-VRO-1032,4DX43UH680CRDU35X,6520 Maple Rd,Dallas,75168,"32.917627, -96.713468",,Sarah Rodriguez,"Coords 32.917627, -96.713468",Stashed
MI,TD Auto Finance,2018,Subaru,Outback,Black,TX-APN-1393,YTSG7SYDYSE5G5HFD,6283 Cedar St,Dallas,76603,"32.714435, -96.676692",Michael Garcia,John Anderson,,Located
GPS,Chase Bank,2022,Ford,Escape,Gray,AZ-MMD7735,RA6164GYB6YNGGAEN,2164 Park Rd,Tempe,85728,"33.447352, -111.946382",,Sarah Rodriguez,,Stashed
MI,Wells Fargo,2024,Ford,F-150,Black,TX-JSR-3385,K7WYV0AKDS9D4ZNNN,5695 Maple Blvd,Dallas,76423,"32.866797, -96.825757",,James Brown,"Coords 32.866797, -96.825757",Located
MI,Regions Bank,2016,Ford,Escape,Gray,AZ-HAU4654,R6PS7Y1P2MA0AEZBH,4860 Chestnut Ave,Mesa,86293,"33.50499, -111.932064",,Olivia Brown,,Located
MI,Ally Financial,2015,Nissan,Altima,Silver,MD-1FI2657,BJ1HYPW6S00L4EHKJ,3240 Park Blvd,Annapolis,21712,"39.251109, -76.584095",David Martinez,,"Coords 39.251109, -76.584095",Located
MI,GM Financial,2024,Honda,Civic,Blue,TX-HBU-5588,J98PF7EL919086MX0,8018 Chestnut Blvd,Garland,75550,"32.83692, -96.769425",,Maria Thomas,"Coords 32.83692, -96.769425",Towed
MI,Navy Federal CU,2015,Nissan,Altima,White,MD-LIR186,JFV5ZRC69Y4564308,4573 Walnut St,Columbia,21184,"39.263921, -76.654219",,Emily Rodriguez,,Dispatched
GPS,Ford Motor Credit,2020,Chevrolet,Malibu,Blue,MD-9GK4221,YTWUNJTAWVZ22A79K,3828 Maple Ave,Glen Burnie,21486,"39.224407, -76.586729",Maria Garcia,Emily Rodriguez,,Located
DRN,Chase Bank,2019,Subaru,Outback,Silver,GA-GOO1493,0JJWA8ZYR342WXBCJ,5510 Broadway Blvd,Marietta,30197,"33.701051, -84.402341",,Michael Rodriguez,,Located
IMP,GM Financial,2013,Toyota,Corolla,Silver,TX-VRF-1525,8BMNE1VPRVE6D0ALX,6507 Pine St,Arlington,75265,"32.824842, -96.822177",Maria Lee,Maria Thomas,,Stashed
IMP,Citizens Bank,2015,Ford,F-150,Silver,TX-QWV-8519,UNAK5E2SY866CFV6Z,6507 Broadway Ave,Irving,75851,"32.747266, -96.683012",Olivia Brown,James Brown,"Coords 32.747266, -96.683012",Located
GPS,GM Financial,2022,Kia,Sorento,White,GA-URJ2093,P83H0EG9X35LTP9C6,1299 Chestnut Blvd,Atlanta,30177,"33.836489, -84.286057",,Sarah Rodriguez,,Dispatched
DRN,US Bank,2013,Chevrolet,Malibu,Red,MD-9VH8171,J7ULLBGMVH2LEAUK5,3015 Maple St,Columbia,21915,"39.308258, -76.664605",,,"Coords 39.308258, -76.664605",Stashed
GPS,Navy Federal CU,2023,Kia,Sorento,Silver,MD-LHG193,B3BAYNERGLLC39GXX,3205 Broadway Ave,Towson,21957,"39.282924, -76.512826",John Davis,Sarah Rodriguez,,Towed
GPS,Ally Financial,2017,Toyota,Camry,Silver,TX-OHC-5562,0CEP3W8GLTGX1JYMX,1206 Cedar St,Arlington,76247,"32.926268, -96.831859",John Davis,John Anderson,,Dispatched
MI,Capital One,2021,Honda,Accord,Red,TX-HXN-4990,FDJ08VNK1PCS5YJUX,8633 Walnut Rd,Dallas,76538,"32.686397, -96.700512",,James Brown,,Located
MI,TD Auto Finance,2020,Nissan,Altima,Black,TX-OUA-2058,8ENDKPJFMPS9F46WL,4112 Walnut Ave,Plano,76241,"32.747222, -96.885834",Daniel Martinez,Michael Rodriguez,,Towed
DRN,Chase Bank,2024,Chevrolet,Malibu,Gray,TX-NQT-8101,K7B14FWKMT16W6V17,5559 Pine Blvd,Dallas,75401,"32.721776, -96.917423",,Michael Rodriguez,,Dispatched
DRN,SunTrust Auto,2018,Toyota,Corolla,Gray,AZ-NBD7304,LN4TZ980D14SS7C0B,4381 Broadway Blvd,Mesa,86934,"33.538373, -112.110999",Michael Rodriguez,Olivia Brown,"Coords 33.538373, -112.110999",Dispatched
IMP,Chase Bank,2013,Honda,Civic,Green,TX-NFN-5143,W91W3FGZKUP2WAL8A,1244 Walnut Blvd,Dallas,76341,"32.757852, -96.837787",Maria Anderson,James Brown,,Dispatched
MI,American Credit Acceptance,2014,Subaru,Outback,White,TX-FGB-3993,NT35GLFVF1HUEYBS7,1751 Main St,Arlington,75545,"32.882986, -96.977615",Sophia Thomas,William Lee,,Towed
IMP,Capital One,2015,Toyota,Camry,Blue,MD-6TN6514,0YXS021DZYGA62JBH,4678 Maple Rd,Towson,21463,"39.297487, -76.571636",,Sophia Rodriguez,,Towed
GPS,Regions Bank,2015,Jeep,Grand Cherokee,Black,GA-VOH8938,2FZ47G1VNK9CJ8FW6,7411 Oak Blvd,Marietta,30341,"33.785167, -84.439161",,John Anderson,,Stashed
MI,Capital One,2018,Toyota,Camry,Red,MD-VPV226,J8FYREY114RRTHVFH,5674 Broadway Ave,Baltimore,21763,"39.358981, -76.589704",William Brown,Michael Rodriguez,,Dispatched
DRN,Capital One,2021,Kia,Sorento,Red,AZ-NKY6980,JRG2A6XKVR86KVKCX,8330 Oak Rd,Glendale,86737,"33.547283, -112.032601",,James Brown,"Coords 33.547283, -112.032601",Located
DRN,Wells Fargo,2023,Chevrolet,Malibu,Gray,GA-WXB3933,82WLB2Y47Z22EVVN2,2244 Cedar St,Atlanta,30365,"33.726019, -84.336342",Sarah Moore,,,Located
MI,US Bank,2019,Subaru,Outback,Silver,GA-LXS2670,K14LDGZ7MDH9Y4K2S,2046 Maple Blvd,Atlanta,30252,"33.725672, -84.350961",Sarah Moore,,,Located
IMP,Chase Bank,2024,Subaru,Outback,Red,GA-LAD2910,FH89RB7UGM174WJGX,8906 Pine Blvd,Atlanta,30360,"33.654937, -84.360985",,Michael Rodriguez,,Stashed
BLOCKED,GM Financial,2020,Toyota,Camry,Green,GA-FTW3948,A5XHCJPLFTCFH9W0L,101 Maple Rd,Sandy Springs,30025,"33.886554, -84.370139",Maria Johnson,,"Coords 33.886554, -84.370139",Blocked
BLOCKED,Regions Bank,2021,Ford,F-150,Gray,GA-WDV1732,SCNKWPJPZUJ4ETT1L,7572 Oak Rd,Sandy Springs,30348,"33.756336, -84.326371",Daniel Anderson,James Brown,,Blocked
DRN,Santander Consumer,2023,Jeep,Grand Cherokee,Silver,MD-KZN488,BSEUHH3EYF0YUKRUA,6279 Maple Blvd,Baltimore,21975,"39.199951, -76.515616",,Sophia Rodriguez,,Towed
BLOCKED,Bank of America,2024,Ford,Escape,Gray,AZ-TDB3797,X1MZ27JTA9KJK1UD0,6952 Chestnut Ave,Mesa,85899,"33.645186, -111.920536",,,,Blocked
DRN,TD Auto Finance,2020,Kia,Sorento,Red,AZ-CUC2256,SFLDFV8A49J789H2A,3215 Main Blvd,Tempe,86439,"33.487014, -112.079229",,William Lee,"Coords 33.487014, -112.079229",Stashed
MI,Toyota Financial,2019,Ford,Escape,White,MD-NPM274,0HYSHVW7VTPA2PW9C,8099 Main Rd,Glen Burnie,21007,"39.296951, -76.641004",,William Lee,,Located
DRN,SunTrust Auto,2023,Hyundai,Elantra,White,MD-9EN3029,8AKTR720W04MUG55L,5895 Walnut St,Annapolis,21368,"39.347879, -76.561064",Robert Wilson,William Lee,,Located
DRN,Citizens Bank,2014,Honda,Civic,Gray,AZ-VID7899,88JX291JHGBJKZ9AS,5705 Walnut St,Phoenix,85890,"33.468068, -112.101222",,Sarah Johnson,,Located
MI,Toyota Financial,2021,Nissan,Altima,White,GA-WHV8031,N7G9MNKRHJ2CUNK4B,3370 Oak St,Decatur,30196,"33.751824, -84.423389",,Maria Thomas,"Coords 33.751824, -84.423389",Located
GPS,American Credit Acceptance,2017,Nissan,Altima,Gray,TX-DIL-5596,Z3SXDMCADXPV7UG4M,8149 Cedar Rd,Irving,75624,"32.710113, -96.759247",,Michael Rodriguez,"Coords 32.710113, -96.759247",Towed
BLOCKED,BB&T Auto,2017,Hyundai,Elantra,Red,TX-GSM-2429,GJHCNN5GEYW7NKCJN,9119 Elm Rd,Arlington,76833,"32.778823, -96.772145",,James Brown,,Blocked
BLOCKED,Toyota Financial,2019,Toyota,Camry,Gray,GA-JBS1996,N289EL59112UPMALP,245 Park Blvd,Decatur,30259,"33.826939, -84.368732",Olivia Brown,Sarah Johnson,,Blocked
GPS,Ford Motor Credit,2023,Chevrolet,Malibu,Silver,TX-JBU-3427,UJUDSPHAZ0XFTJ3VX,270 Cedar Ave,Dallas,76497,"32.940611, -96.921677",John Anderson,Emily Rodriguez,"Coords 32.940611, -96.921677",Located
DRN,SunTrust Auto,2023,Subaru,Outback,Red,MD-HKI308,2K5R40K7F8M6MMN8M,444 Elm Ave,Columbia,21907,"39.21377, -76.627219",Olivia Anderson,,"Coords 39.21377, -76.627219",Stashed
IMP,TD Auto Finance,2013,Ford,F-150,Gray,MD-ZAT202,11BHACJSFUKAAGYFN,7971 Broadway Blvd,Annapolis,21836,"39.210997, -76.640331",Maria Moore,Michael Rodriguez,,Stashed
GPS,Ford Motor Credit,2023,Honda,Accord,Silver,MD-7EA4675,BR41KZVR1H8LHRGVZ,5567 Oak Rd,Baltimore,21946,"39.355693, -76.692191",,Sarah Rodriguez,,Located
BLOCKED,Regions Bank,2018,Ford,F-150,Blue,TX-TJL-2702,U80TEAKKXK157EH4U,1581 Cedar Ave,Plano,75373,"32.887235, -96.863639",,,,Blocked
MI,Regions Bank,2018,Subaru,Outback,Blue,GA-RRP9724,R1F3RFS0APB07JHDZ,2383 Elm Blvd,Roswell,30075,"33.858813, -84.362125",,Emily Rodriguez,"Coords 33.858813, -84.362125",Stashed
GPS,TD Auto Finance,2015,Nissan,Altima,Green,GA-MXA7958,0DGE7LBK0KFSEA3KM,2395 Park Rd,Sandy Springs,30242,"33.752881, -84.415666",Maria Moore,Sarah Johnson,"Coords 33.752881, -84.415666",Blocked
GPS,Wells Fargo,2013,Chevrolet,Malibu,White,MD-7VO5227,9WR4LUF1JP2DR2ME6,5231 Walnut Blvd,Glen Burnie,21169,"39.190388, -76.63199",Daniel Lee,Sarah Johnson,,Towed
BLOCKED,BB&T Auto,2013,Toyota,Camry,Black,AZ-FRD2070,PAWNNCSUFC7CDXFWA,4726 Walnut Ave,Glendale,85645,"33.563145, -111.946009",,John Anderson,"Coords 33.563145, -111.946009",Blocked
GPS,Toyota Financial,2018,Hyundai,Elantra,Red,MD-1JF3482,6FFRPKL9Y5JYV04C1,3521 Broadway St,Annapolis,21982,"39.208956, -76.578164",,Sarah Johnson,,Towed
BLOCKED,Fifth Third Bank,2024,Ford,F-150,Green,MD-5FC5589,0ZFEM6T7T5JH8C0V2,2213 Chestnut Rd,Glen Burnie,21525,"39.340519, -76.510071",,Olivia Brown,,Blocked
BLOCKED,Wells Fargo,2019,Honda,Accord,Silver,GA-EDJ7157,L2ER16FZ666GFMG24,6678 Cedar St,Marietta,30164,"33.735606, -84.348908",Ava Johnson,Sarah Rodriguez,,Blocked
BLOCKED,Wells Fargo,2016,Toyota,Camry,Gray,GA-KSB7230,D047PDPB4UTMFKEU2,4987 Chestnut Blvd,Atlanta,30270,"33.703526, -84.276732",David Rodriguez,Olivia Brown,,Blocked
MI,Fifth Third Bank,2018,Toyota,Camry,Silver,MD-ZFW547,Z1ANEKXXAK6K8XH3T,160 Chestnut Ave,Towson,21650,"39.265372, -76.506414",,John Anderson,,Located
MI,Ford Motor Credit,2015,Subaru,Outback,Gray,TX-GVS-1235,00BWW9H8633ZZ4YHM,7118 Cedar Ave,Arlington,76133,"32.840621, -96.800888",Sarah Martinez,Michael Rodriguez,,Towed
GPS,Hyundai Capital,2016,Jeep,Grand Cherokee,Red,GA-TND9133,G59CV3PR61HN7HZ63,224 Cedar Ave,Sandy Springs,30261,"33.720901, -84.280098",Maria Rodriguez,William Lee,,Located
GPS,Citizens Bank,2015,Jeep,Grand Cherokee,Black,GA-KFS8045,S2N2D4J1M2XL4RGJ9,9552 Walnut Rd,Atlanta,30285,"33.689763, -84.419399",,Sarah Rodriguez,,Located
